street,number,neighborhood,city,state,country,zipcode,store_id,store_name
Brilhauto,4977,Avenida Dom Hélder Câmara,Cachambi,Rio de Janeiro,Brasil,20771-001,187,LUCITA 
Brilhauto,4977,Avenida Dom Hélder Câmara,Cachambi,Rio de Janeiro,Brasil,20771-001,189,USPUMUI CIRAICI 
Brilhauto,4977,Avenida Dom Hélder Câmara,Cachambi,Rio de Janeiro,Brasil,20771-001,191,AR PAZZI 
Avenida Maracanã,,Rio de Janeiro,Rio de Janeiro,20511-120,Brasil,20511-120,228,PUGUM 
17250,,Recreio dos Bandeirantes,Rio de Janeiro,Rio de Janeiro,Brasil,22790-570,232,RIARI SIARI 
Brilhauto,4977,Avenida Dom Hélder Câmara,Cachambi,Rio de Janeiro,Brasil,20771-001,236,IUMPICA 
Praia de Botafogo,,Rio de Janeiro,Rio de Janeiro,22250-150,Brasil,22250-150,245,SUPSIO 
Praia de Botafogo,,Rio de Janeiro,Rio de Janeiro,22250-150,Brasil,22250-150,261,AR TRAMUO 
Avenida Maracanã,,Rio de Janeiro,Rio de Janeiro,20511-120,Brasil,20511-120,264,EMUOUS
17250,,Recreio dos Bandeirantes,Rio de Janeiro,Rio de Janeiro,Brasil,22790-570,274,IUMPICA 
Brilhauto,4977,Avenida Dom Hélder Câmara,Cachambi,Rio de Janeiro,Brasil,20771-001,294,PAPA SUCIS 
Rua Engenheiro Enaldo Cravo Peixoto,,Rio de Janeiro,Rio de Janeiro,20530-230,Brasil,20530-230,295,AIEMAMIMU IU PRUSEM
Brilhauto,4977,Avenida Dom Hélder Câmara,Cachambi,Rio de Janeiro,Brasil,20771-001,311,RISA PUM 
Rua Sena Madureira,,São Paulo,São Paulo,04119-000,Brasil,04119-000,321,IUMPICA 
Rua Sena Madureira,,São Paulo,São Paulo,04119-000,Brasil,04119-000,339,ARE TRAMUO 
,,,,,,,342,PIARIS
Brilhauto,4977,Avenida Dom Hélder Câmara,Cachambi,Rio de Janeiro,Brasil,20771-001,345,ZIM ME MUMEUR 
Rua Leão Coroado,,Alto de Pinheiros,São Paulo,São Paulo,Brasil,05445-050,356,SPILUMI 
Shopping Millennium,7707,Avenida das Américas,Américas Park,Barra da Tijuca,Brasil,22793-081,357,PILIOU RAS 
Shopping Millennium,7707,Avenida das Américas,Américas Park,Barra da Tijuca,Brasil,22793-081,361,IPUPIEMAI 
Avenida Luís Carlos Prestes,,Rio de Janeiro,Rio de Janeiro,22640-120,Brasil,22640-120,365,CIRILAMI SILUS 
Avenida Luís Carlos Prestes,,Rio de Janeiro,Rio de Janeiro,22640-120,Brasil,22640-120,366,AR TRAMUO 
Avenida Luís Carlos Prestes,,Rio de Janeiro,Rio de Janeiro,22640-120,Brasil,22640-120,367,MIUMSAU 
Avenida Luís Carlos Prestes,,Rio de Janeiro,Rio de Janeiro,22640-120,Brasil,22640-120,370,PAZZI ZUM 
Avenida Luís Carlos Prestes,,Rio de Janeiro,Rio de Janeiro,22640-120,Brasil,22640-120,371,LUCITA 
Avenida Luís Carlos Prestes,,Rio de Janeiro,Rio de Janeiro,22640-120,Brasil,22640-120,373,CRUPULICOS 
Shopping Millennium,7707,Avenida das Américas,Américas Park,Barra da Tijuca,Brasil,22793-081,377,RIRURPIS
Rua Leão Coroado,,Alto de Pinheiros,São Paulo,São Paulo,Brasil,05445-050,378,OURAMIES 
Rua Leão Coroado,,Alto de Pinheiros,São Paulo,São Paulo,Brasil,05445-050,383,ACA PRISSURAU 
Shopping Millennium,7707,Avenida das Américas,Américas Park,Barra da Tijuca,Brasil,22793-081,387,REMFRUMIS 
Rua Sena Madureira,,São Paulo,São Paulo,04119-000,Brasil,04119-000,390,PAZZI ZUM 
Avenida Luís Carlos Prestes,,Rio de Janeiro,Rio de Janeiro,22640-120,Brasil,22640-120,391,FAIARUMUI 
Leroy Merlin,,Cachambi,Rio de Janeiro,Rio de Janeiro,Brasil,20771-580,399,PIARO 
Shopping Millennium,7707,Avenida das Américas,Américas Park,Barra da Tijuca,Brasil,22793-081,406,GARIOLIS 
17398,,Recreio dos Bandeirantes,Rio de Janeiro,Rio de Janeiro,Brasil,22790-570,409,RC OUMILEES 
Brilhauto,4977,Avenida Dom Hélder Câmara,Cachambi,Rio de Janeiro,Brasil,20771-001,414,SPILUMI 
Rua Engenheiro Enaldo Cravo Peixoto,,Rio de Janeiro,Rio de Janeiro,20530-230,Brasil,20530-230,415,IPUPIEMAI 
Shopping Villa Lobos,4777,Avenida Doutora Ruth Cardoso,Boaçava,Alto de Pinheiros,Brasil,05477-902,416,IUMPICA 
Avenida Luís Carlos Prestes,,Rio de Janeiro,Rio de Janeiro,22640-120,Brasil,22640-120,417,IUMPICA 
Avenida Luís Carlos Prestes,,Rio de Janeiro,Rio de Janeiro,22640-120,Brasil,22640-120,426,ZIM M MUMEUR 
Shopping Villa Lobos,4777,Avenida Doutora Ruth Cardoso,Boaçava,Alto de Pinheiros,Brasil,05477-902,430,PIR DA ILUROI 
